"userid","data_to_parse"
"54f680d9a1417","""value"":""Y;U;A1;W""}]"
"54f4be8995d4e","""value"":""Y;U;A7;W""}]"
"54f534dc9f406","""value"":""N;U;A7;W""}]"
"54dd70f427817","""value"":""N;C;I3;L""}]"
"54f5db6e9b7ed","""value"":""N;U;A7;W""}]"
"54f685853c285","""value"":""N;U;A7;W""}]"
"54f69fe0c938d","""value"":""N;U;U;L""}]"
"54f394ce96563","""value"":""N;C;I4;L""}]"
"54f52113114fa","""value"":""N;U;I1;W""}]"
"54f52cf53acdc","""value"":""N;U;A7;W""}]"
"54f37d8e8fb5c","""value"":""Y;U;A7;W""}]"
"54f46b1f74133","""value"":""N;U;A6;W""}]"
"54f51e44c4470","""value"":""Y;U;A6;W""}]"
"54f3df204687d","""value"":""N;C;I1;L""}]"
"54f55a8737ebe","""value"":""Y;U;A7;W""}]"
"54f389460dcf3","""value"":""N;U;A7;W""}]"
"54f3e6aa6def9","""value"":""N;U;I1;W""}]"
"54f6aa13d6559","""value"":""N;U;A7;W""}]"
"54f38c2884dc7","""value"":""N;C;A6;L""}]"
"54f50903a05e4","""value"":""N;U;I5;W""}]"
"54f4c911770e9","""value"":""N;C;A7;L""}]"
"54f3a4a47f573","""value"":""N;U;A5;W""}]"
"54f3b17f7da42","""value"":""N;C;A7;L""}]"
"54f34a9c5a1cb","""value"":""N;U;I1;W""}]"
"54f53fce25779","""value"":""N;U;A7;W""}]"
"54f4768f2a353","""value"":""N;U;A7;W""}]"
"54f5d290951a1","""value"":""Y;U;A1;W""}]"
"54f39293bbadd","""value"":""N;U;I2;W""}]"
"54f4e5bd514de","""value"":""Y;U;A1;W""}]"
"54f35490b3e8e","""value"":""N;U;A7;W""}]"
"54f36802540f1","""value"":""N;C;A7;L""}]"
"54f3ef08e2d55","""value"":""N;U;A7;W""}]"
"54f66e1298921","""value"":""N;U;A4;W""}]"
"54f52c6e0dc5d","""value"":""N;U;A3;W""}]"
"54f6711743161","""value"":""Y;U;A3;W""}]"
"54f5eec3c308c","""value"":""N;C;U;L""}]"
"54f49b04877b3","""value"":""N;U;I4;W""}]"
"54f663a0e56a1","""value"":""N;U;A7;W""}]"
"54f3da7648fff","""value"":""N;U;I1;W""}]"
"54f346d3758ac","""value"":""N;U;A7;W""}]"
"54f49b8937e28","""value"":""N;U;A7;W""}]"
"54f6b646ca71d","""value"":""N;C;A1;L""}]"
"54f6b37f8d645","""value"":""N;U;A7;W""}]"
"54f6459af130d","""value"":""N;U;I4;W""}]"
"54f5cdb79f9c4","""value"":""N;C;I5;L""}]"
"54f3bf8000f55","""value"":""N;U;A7;W""}]"
"54f41c4fa5feb","""value"":""N;U;A7;W""}]"
"54f534e74d7c1","""value"":""Y;U;A7;W""}]"
"54f39dd71ab9a","""value"":""Y;U;A7;W""}]"
"54f54cbfd6e50","""value"":""N;U;A7;W""}]"
"54f3cce221a80","""value"":""N;U;A7;W""}]"
"54f46775e8405","""value"":""N;U;I1;W""}]"
"54f538a1af491","""value"":""N;U;A7;W""}]"
"54f5a304aed3c","""value"":""N;U;A7;W""}]"
"54f3f664ee34d","""value"":""N;U;I1;W""}]"
"54f5dfa105ab4","""value"":""Y;U;A5;W""}]"
"54f3e989f0bad","""value"":""N;U;A6;W""}]"
"54f2ce9ee1f4c","""value"":""N;U;A3;W""}]"
"54f3fe8ca2dc3","""value"":""N;U;I5;L""}]"
"54f47cdd73e9d","""value"":""N;C;A4;L""}]"
"54f6725b1d6e3","""value"":""Y;U;A2;W""}]"
"54f4b15c55b17","""value"":""N;U;I1;W""}]"
"54f4d0fba4126","""value"":""N;C;A7;L""}]"
"54f5e71259a0e","""value"":""N;U;A7;W""}]"
"54f693dce56e9","""value"":""N;U;I4;W""}]"
"54f48a1fb7d8a","""value"":""N;U;A7;W""}]"
